id	adverseevents_frequency	adverseevents_frequency_units	adverseevents_liability	adverseevents_severity	adverseevents_type	adverseevents_comment	adverseevents_dlt	tox_id
1	5 pts		Abdominal pain	below serious				1
2	1 pts		Black stools	below serious				1
3	1 pts		Clostridium difficile infection	below serious				1
4	5 pts		Constipation	below serious				1
5	2 pts		Diarrhea	below serious				1
6	2 pts		Dry mouth	below serious				1
7	1 pts		Function liver abnormal	below serious				1
8	6 pts		Nausea and vomiting	below serious				1
9	5 pts		Dizziness	below serious				1
10	1 pts		Abnormal dreams	below serious				1
11	14 pts		Drowsiness	below serious				1
12	2 pts		Insomnia	below serious				1
13	2 pts		Ovarian cyst	below serious				1
14	2 pts		Menstrual disorder	below serious				1
15	2 pts		Arthralgia	below serious				1
16	4 pts		Back pain	below serious				1
17	4 pts		Pain	below serious				1
18	2 pts		Pelvic pain	below serious				1
19	1 pts		Infection	below serious				1
20	6 pts		Infection	below serious				1
21	2 pts		Cough	below serious				1
22	1 pts		Dysuria	below serious				1
23	1 pts		Prostate infection	below serious				1
24	2 pts		Urinary tract infection	below serious				1
25	1 pts		Anaphylactic reaction	serious				3
26	1 pts		Syncope	serious				3
27	3 pts		Altered mood	serious				3
28	1 pts		Bronchospasm	serious				3
29	14 pts		Cognitive disorder	below serious				3
30	3 pts		Dizziness	below serious				3
31	43 pts		Fatigue	below serious				3
32	36 pts		Dry mouth	below serious				3
33	7 pts		Streptococcal pharyngitis	below serious				3
34	7 pts		Pharyngitis streptococcal	below serious				3
35	1 pts		Dry mouth	below serious				2
36	32		Sedation					10
37	32		Dry mouth					10
38	20		Postural hypotension					10
39	24		Weight gain					10
40	8		Ataxia					10
41	12		Constipation					10
42	20		Lethargy					10
43	8		Edema					10
44	12		Headache					10
45	12		Pruritus					10
46	4		Bad taste					10
47	4		Nausea					10
48	4		Diarrhea					10
49	8		Blurred vision					10
50	4		Ankle edema		discontinuation			10
51	4		Dizziness		discontinuation			10
52	20		Bradycardia	grade 3	discontinuation	the study was terminated when 1 subject in the 100-mg group developed severe bradycardia		6
53	20		Agitation					6
54	20		Dry mouth					6
