compound_id	compound_name	compound_unii
1	STEMREGENIN1	RNE1V1F9O1
3	AMITRIPTYLINE	1806D8D52K
4	DEFERASIROX	V8G4MOF2V9
5	PERAMIVIR ANHYDROUS	9ZS94HQO3B
6	CEFTOLOZANE	37A4IES95Q
7	DASABUVIR	DE54EQW8T1
8	OLAPARIB	WOH1JD9AR8
9	FINAFLOXACIN	D26OSN9Q4R
10	PIRFENIDONE	D7NLD2JX7U
11	NINTEDANIB	G6HRD2P839
13	LEDIPASVIR	013TE6E4WV
14	NALOXEGOL	44T7335BKE
15	ELIGLUSTAT	DR40J4WA67
16	SUVOREXANT	081L192FO9
17	EMPAGLIFLOZIN	HDC1R2M35U
18	OLODATEROL	VD2YSN1AFD
19	IDELALISIB	YG57I8T5M0
20	TAVABOROLE	K124A4EUQ3
21	BELINOSTAT	F4H96P17NZ
22	TEDIZOLID PHOSPHATE	O7DRJ6R4DW
23	EFINACONAZOLE	J82SB7FXWB
24	VORAPAXAR	ZCE93644N2
25	CERITINIB	K418KG2GET
27	MILTEFOSINE	53EY29W7EC
29	NOREPINEPHRINE	X4W3ENH1CV
30	TASIMELTEON	SHS4PU80D9
31	UMECLIDINIUM	GE2T1418SV
32	SOFOSBUVIR	WJ6CA3ZU8B
33	SIMEPREVIR	9WS5RD66HZ
34	IBRUTINIB	1X70OSD4VX
35	ESLICARBAZEPINE	S5VXA428R4
36	FLUTEMETAMOL F-18	L49M066S0O
37	MACITENTAN	Z9K9Y9WMVL
38	RIOCIGUAT	RU3FE2Y4XI
39	BAZEDOXIFENE	Q16TT9C5BK
40	VORTIOXETINE	3O2K1S3WQV
41	DOLUTEGRAVIR	DKO1W9H7M1
42	AFATINIB	41UD74L59M
43	TRAMETINIB	33E86K87QN
44	DABRAFENIB	QGP4HA4G1B
46	VILANTEROL	028LZY775B
47	CANAGLIFLOZIN	0SAC974Z85
51	OSPEMIFENE	B0P231ILBK
53	POMALIDOMIDE	D2UX06XLB5
54	ALOGLIPTIN	JHC049LO86
56	BEDAQUILINE	78846I289Y
57	APIXABAN	3Z9Y7UWC1J
58	LOMITAPIDE	82KUB0583F
60	PONATINIB	4340891KFS
62	TOFACITINIB	87LA6FU830
63	OMACETAXINE MEPESUCCINATE	6FG8041S5B
64	PERAMPANEL	H821664NPK
65	REGORAFENIB	24T2A1DOYB
66	TERIFLUNOMIDE	1C058IKG3B
67	BOSUTINIB	5018V4AEZ0
68	ENZALUTAMIDE	93T0T9GKNU
70	ACLIDINIUM	K17VY42F6C
71	CARFILZOMIB	72X6E3J5AR
72	MIRABEGRON	MVR3JL3B2V
73	LORCASERIN	637E494O0Z
74	AVANAFIL	DR5S136IVO
77	TAFLUPROST	1O6WQ6T7G3
78	IVACAFTOR	1Y740ILL1Z
79	VISMODEGIB	25X868M3DS
80	AXITINIB	C9LVQ0YUXG
81	INGENOL MEBUTATE	7686S50JAH
83	RUXOLITINIB	82S8X8XX8H
84	CLOBAZAM	2MRO291B4U
85	DEFERIPRONE	2BTY8KH53L
86	CRIZOTINIB	53AH36668S
87	ICATIBANT	7PG89G35Q7
88	VEMURAFENIB	207SMY3FQT
89	TICAGRELOR	GLH0314RVC
90	RIVAROXABAN	9NDF7JZ4M3
91	EZOGABINE	12G01I6BBU
92	FIDAXOMICIN	Z5N076G8YQ
93	TELAPREVIR	655M5O3W0U
94	RILPIVIRINE	FI96A8X663
95	BOCEPREVIR	89BT58KELH
96	LINAGLIPTIN	3X29ZEJ4R2
97	ABIRATERONE ACETATE	EM5OCB9YJ6
98	VANDETANIB	YO460OQ37K
99	GABAPENTIN	6CW7F3G59X
101	ROFLUMILAST	0P6C6ZOP5U
103	VILAZODONE	S239O2OOV3
105	CLINDAMYCIN	3U02EL437C
106	METRIZOIC ACID	CM1N99QR1M
107	GANCICLOVIR	P9G3CKZ4P5
