id	compound_id	pk_adm_other_routes	pk_age_group	pk_analyte_cid	pk_analyte_mw	pk_analyte_pt	pk_analyte_query	pk_analyte_smiles	pk_analyte_tissue	pk_analyte_unii	pk_application_cid	pk_application_mw	pk_application_pt	pk_application_query	pk_application_smiles	pk_application_unii	pk_auc_hours	pk_auc_other_units	pk_auc_type	pk_auc_units	pk_auc_value	pk_cmax_other_units	pk_cmax_units	pk_cmax_value	pk_dose_other_types	pk_dose_other_units	pk_dose_type	pk_dose_units	pk_dose_value	pk_exp_other_types	pk_experiment_type	pk_food_status	pk_frequency_other_period	pk_frequency_period	pk_frequency_times	pk_funbound_comment	pk_funbound_value	pk_health_status	pk_routes	pk_sex	pk_source_type	pk_source_uri	pk_species	pk_thalf_other_units	pk_thalf_units	pk_thalf_value	pk_application_comment	pk_population_comment	pk_application_combo_comment	pk_population_size	pk_annotated_form	pk_analyte_other_tissue	pkappcombo
1	3		ADULT	2160	277.4033	AMITRIPTYLINE	AMITRIPTYLINE	CN(C)CCC=C1C2=CC=CC=C2CCC3=C1C=CC=C3	PLASMA	1806D8D52K									∞	ng × h/mL	593		ng/mL	15.3			RECOMMENDED	mg	75		SINGLE	FASTED						HEALTHY	Oral	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/10383563	Homo sapiens		h	20.4							false
2	3		ADULT	2160	277.4033	AMITRIPTYLINE	amitriptyline	CN(C)CCC=C1C2=CC=CC=C2CCC3=C1C=CC=C3	PLASMA	1806D8D52K																	RECOMMENDED	mg	150		MULTIPLE	FASTED		day	1		7.7	UNHEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/6125396	Homo sapiens										false
3	4			214348	373.3615	DEFERASIROX	DEFERASIROX	OC(=O)C1=CC=C(C=C1)N2N=C(N=C2C3=C(O)C=CC=C3)C4=C(O)C=CC=C4	PLASMA	V8G4MOF2V9							24		t	μM × h	6.513							mg/kg	10		STEADY-STATE			day	1				Oral		EXPERIMENT	https://clinicaltrials.gov/ct2/show/NCT01709838	Homo sapiens										false
4	4			214348	373.3615	DEFERASIROX	DEFERASIROX	OC(=O)C1=CC=C(C=C1)N2N=C(N=C2C3=C(O)C=CC=C3)C4=C(O)C=CC=C4	PLASMA	V8G4MOF2V9							2		t	μM × h	48.556							mg/kg	10		STEADY-STATE			day	1				Oral		EXPERIMENT	https://clinicaltrials.gov/ct2/show/NCT01709838	Homo sapiens										false
5	4			214348	373.3615	DEFERASIROX	DEFERASIROX	OC(=O)C1=CC=C(C=C1)N2N=C(N=C2C3=C(O)C=CC=C3)C4=C(O)C=CC=C4	PLASMA	V8G4MOF2V9							4		t	μM × h	44.652							mg/kg	10		STEADY-STATE			day	1				Oral		EXPERIMENT	https://clinicaltrials.gov/ct2/show/NCT01709838	Homo sapiens										false
6	4		ADULT	214348	373.3615	DEFERASIROX	DEFERASIROX	OC(=O)C1=CC=C(C=C1)N2N=C(N=C2C3=C(O)C=CC=C3)C4=C(O)C=CC=C4	PLASMA	V8G4MOF2V9							24		t	μM × h	688		μM	46.5			UNKNOWN	mg	1000		STEADY-STATE	UNKNOWN		day	1			UNHEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://www.ncbi.nlm.nih.gov/pubmed/20097723	Homo sapiens		h	9.4							false
7	4		ADULT	214348	373.3615	DEFERASIROX	DEFERASIROX	OC(=O)C1=CC=C(C=C1)N2N=C(N=C2C3=C(O)C=CC=C3)C4=C(O)C=CC=C4	PLASMA	V8G4MOF2V9							24		t	μM × h	3172		μM	220			UNKNOWN	mg/kg	30		MULTIPLE	UNKNOWN		day	1			UNHEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://www.ncbi.nlm.nih.gov/pubmed/26093827	Homo sapiens		h	12							false
8	5		ADULT	154234|86310107	328.4072	PERAMIVIR ANHYDROUS	PERAMIVIR ANHYDROUS	CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@H](C[C@H]1NC(N)=N)C(O)=O	SERUM	9ZS94HQO3B									∞	ng × h/mL	102700		ng/mL	46800			RECOMMENDED	mg	600		SINGLE	UNKNOWN				In vitro binding of peramivir to human plasma proteins is less than 30%.	70	HEALTHY	Intravenous	UNKNOWN	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206426lbl.pdf	Homo sapiens		h	20							false
9	6		ADULT	53234134	666.7	Ceftolozane	CC(C)(C(=O)O)ON=C(C1=NSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC(=C(N4C)N)NC(=O)NCCN)C(=O)[O-]	CC(C)(C(=O)O)ON=C(C1=NSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC(=C(N4C)N)NC(=O)NCCN)C(=O)[O-]	PLASMA	37A4IES95Q	123630		TAZOBACTAM	tazobactam	C[C@]2(CN1C=CN=N1)[C@@H](N3[C@@H](CC3=O)S2(=O)=O)C(O)=O	SE10G96M8W	8		t	μg × h/mL	182		μg/mL	74.4			RECOMMENDED	g	1		STEADY-STATE	UNKNOWN		day	3		81.5	HEALTHY	Intravenous	UNKNOWN	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206829lbl.pdf	Homo sapiens		h	3.12							true
10	6		ADULT	53234134	666.7	Ceftolozane	CC(C)(C(=O)O)ON=C(C1=NSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC(=C(N4C)N)NC(=O)NCCN)C(=O)[O-]	CC(C)(C(=O)O)ON=C(C1=NSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC(=C(N4C)N)NC(=O)NCCN)C(=O)[O-]	PLASMA	37A4IES95Q	123630		TAZOBACTAM	tazobactam	C[C@]2(CN1C=CN=N1)[C@@H](N3[C@@H](CC3=O)S2(=O)=O)C(O)=O	SE10G96M8W	8		t	μg × h/mL	172		μg/mL	69.1			RECOMMENDED	g	1		SINGLE	UNKNOWN					81.5	HEALTHY	Intravenous	UNKNOWN	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206829lbl.pdf	Homo sapiens		h	2.77							true
