id	compound_id	toxicity_adm_other_routes	toxicity_age_group	toxicity_dose_other_types	toxicity_dose_other_units	toxicity_dose_type	toxicity_dose_units	toxicity_dose_value	toxicity_exp_other_types	toxicity_experiment_type	toxicity_food_status	toxicity_frequency_other_period	toxicity_frequency_period	toxicity_frequency_times	toxicity_health_status	toxicity_routes	toxicity_sex	toxicity_source_type	toxicity_source_uri	toxicity_species	tox_application_smiles	toxicity_do_id	tox_application_pt_3	tox_application_cid	tox_application_unii	toxicity_age_group_median	toxicity_diff_dose_type	tox_application_dosing_comment_2	tox_application_pt_2	toxicity_dose_comment	toxicityappcombo	toxicity_age_group_to	toxicity_population_size	toxicity_do	tox_application_dosing_comment	tox_application_mw	tox_application_query_3	tox_application_query	toxicity_age_group_from	tox_application_pt	tox_application_dosing_comment_3	toxicity_duration	toxicity_duration_units	tox_application_query_2	toxicity_source_page
1	3		adult				mg	50		steady			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT00248651	Homo sapiens							max			25 mg capsule by mouth at bedtime for two weeks, then 50 mg capsule by mouth at bedtime for 10 weeks.			97	Dyspepsia								12	week		
2	3		adult				mg	50		steady			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT03591458	Homo sapiens										Participants will be initiated on 25 mg Amitriptyline daily for two weeks during the Titration Period. Amitriptyline dose will be increased to 50 mg daily for 8 weeks during the Intervention Period. Finally, the dose of Amitriptyline will be reduced to 25 mg daily during the two week Taper Period.			1	Type1 Diabetes								12	week		
3	3		child				mg/kg	0.5		steady			day	2	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT01581281	Homo sapiens							max						144	Migraine								24	week		
4	3					Highest studied dose	%	10		single			day	1	unhealthy	topical	M		https://pubmed.ncbi.nlm.nih.gov/21676162/	Homo sapiens						57				10 % cream			1	pain					57			1	day		
5	3					Recommended	mg	75		multiple			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/8494126/	Homo sapiens						55							27	chronic pain								3	week		
6	3					Studied dose	mg	100		single			day	1	healthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/17512256/	Homo sapiens												70	5						21			1	day		
7	3					Studied dose	mg	25		multiple			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/24259978/	Homo sapiens						43.2							16	globus pharyngeus								4	week		
8	3					Studied dose	mg	520.3		single			day	1	healthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/20923818/	Homo sapiens						22.1	mean						96									1	day		
9	3					Studied dose	mg	520.3		single			day	1	healthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/20923818/	Homo sapiens							mean						96									1	day		
10	3					Studied dose	mg	59		multiple			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/10493324/	Homo sapiens						60.4	mean						25	diabetic peripheral neuropathy pain								6	week		
11	4					Highest studied dose	mg/kg	30		steady			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/31229401	Homo sapiens						23.1						51	30	thalassemia major					10			1	year		
12	4					Highest studied dose	mg/kg	40		single					healthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203560Orig1s000lbl.pdf	Homo sapiens																									
13	4					Overdose	mg/kg	60		steady			day	1	unknown	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203560Orig1s000lbl.pdf	Homo sapiens										2 to 3 times the prescribed dose for several weeks			1									2	week		
14	4					Overdose	mg/kg	80		single					unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203560Orig1s000lbl.pdf	Homo sapiens													1	iron overloaded beta-thalassemia											
15	4					Overdose	mg/kg	90		single					unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/28556939/	Homo sapiens						20				dispensing error			1						20						
16	4					Recommended	mg/kg	20		multiple			day	1	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203560Orig1s000lbl.pdf	Homo sapiens																			2						
17	4					Recommended	mg/kg	20		steady			day	1	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203560Orig1s000lbl.pdf	Homo sapiens						17.1						53	296						2			12	month		
