domain	field	field name in merged curated file	field type	data type	dictionary	format	description
pk	compound_id		FK	integer			Compound ID
pk	id		PK	integer			PK entry ID
pk	pk_annotated_form	annotated_form	main	string			Name of annotated form of the drug (if different from the name of the drug)
pk	pk_source_type	source_type	main	dictionary	pk_source_type		Type of the information source: drug label, other government, review, etc
pk	pk_source_uri	url	main	string		URL	URL of the data source
pk	pk_species	species_label	main	string	pk_species		Species in which PK was measured, e.g. Homo sapiens
pk	pk_sex	sex	main	dictionary	pk_sex		Sex of PK population
pk	pk_age_group	age_group	main	dictionary	pk_age_group		Age group of PK population (adult, children, adolescent etc)
pk	pk_health_status	health_status	main	dictionary	pk_health_status		Health status of PK population (healthy, unhealthy, pregnant, unknown)
pk	pk_food_status	food_status	main	dictionary	pk_food_status		How the drug was administered in relation to food (e.g patient was fed, fasted, food status unknown)
pk	pk_population_size		main	integer			Size of the population used in PK study
pk	pk_population_comment		main	string			Curator comments related to the population
pk	pk_experiment_type	experiment_type	main	dictionary	pk_experiment_type		How many times the drug was administered (single, steady-state, multiple)
pk	pk_exp_other_types	experiment_type_other	main	string			For ""other"" experiment type stores information about administration (e.g. infusion, 15 hour)
pk	pk_routes	route	main	dictionary	pk_routes		Route of administration (oral, intravenous etc)
pk	pk_adm_other_routes	route_other	technical	string			Technical field for storing other routes of administration
pk	pk_dose_type	dose_type	main	dictionary	pk_dose_type		Type of the dose administered (recommended, MTD, max daily etc)
pk	pk_dose_other_types	dose_type_other	technical	string			Technical field for storing other types of doses
pk	pk_dose_value	dose_value	main	double			Value of the dose
pk	pk_dose_units	dose_units	main	dictionary	pk_dose_units	dose	Units for the dose
pk	pk_dose_other_units	dose_units_other	technical	string			Technical field for storing other dose units
pk	pk_frequency_times	freq_times	main	double			Administration frequency: how many times the drug was administered in a specified period of time
pk	pk_frequency_period	freq_period	main	dictionary	pk_frequency_period		Administration frequency: what's time period corresponding to the frequency
pk	pk_frequency_other_period	freq_period_other	technical	string			Technical field for storing other periods
pk	pk_application_comment		main	string			Curator comments related to the drug application
pk	pk_application_query	combination_query	technical	string			Name or SMILES for the drug which was co-administered with the main drug. This field served as a request for drug lookup for co-administered drug
pk	pk_application_pt	combination_pt	main	string			Name of the drug which was co-administered with the main drug
pk	pk_application_mw		technical	double			Molecular weight of co-administered drug.
pk	pk_application_smiles	combination_smiles	main	string		SMILES	SMILES for the drug which was co-administered with the main drug
pk	pk_application_unii	combination_unii	main	string		UNII	UNII for co-administered drug
pk	pk_application_cid	combination_cid	main	string		PubChem ID	PubChem Identifier of co-administered drug.
pk	pk_application_combo_comment		main	string			Curator comments related to the co-administered drugs
pk	pkappcombo		technical	boolean			Is the drug used in combination. This is the technical field for UI to display the combination data
pk	pk_analyte_tissue	analyte_tissue	main	dictionary	pk_analyte_tissue		Tissue where the analyte was detected
pk	pk_analyte_other_tissue		technical	string			Technical field for storing tissues not from the dictionary
pk	pk_analyte_query	analyte_query	technical	string			Name or SMILES for the analyte. This field served as a request for drug lookup for analyte
pk	pk_analyte_pt	analyte_pt	main	string			Name of the PK analyte
pk	pk_analyte_mw	analyte_mw	main	double			Molecular weight of PK analyte
pk	pk_analyte_smiles	analyte_smiles	main	string		SMILES	SMILES for the analyte
pk	pk_analyte_unii	analyte_unii	main	string		UNII	UNII for the analyte
pk	pk_analyte_cid	analyte_cid	main	string		PubChem ID	PubChem identifier for analyte
pk	pk_cmax_value	cmax_value	main	double			Cmax value
pk	pk_cmax_units	cmax_units	main	dictionary	pk_cmax_units	concentration	Units for Cmax
pk	pk_cmax_other_units	cmax_units_other	technical	string			Technical field for storing other Cmax units
pk	pk_auc_value	auc_value	main	double			AUC value
pk	pk_auc_type	auc_type	main	dictionary	pk_auc_type		Type of the timeframe on which AUC was measured (infinity, t, unknown)
pk	pk_auc_hours	auc_time	main	double			For AUC0-t value of t in hours
pk	pk_auc_units	auc_units	main	dictionary	pk_auc_units	concentration-time AUC	AUC units
pk	pk_auc_other_units	auc_units_other	technical	string			Technical field for storing other AUC units
pk	pk_thalf_value	thalf_value	main	double			T1/2 value
pk	pk_thalf_units	thalf_units	main	dictionary	pk_thalf_units	time	T1/2 units
pk	pk_thalf_other_units	thalf_units_other	technical	string			Technical field for storing other T1/2 units
pk	pk_funbound_value	funbound_value	main	double			Funbound value (expressed in %)
pk	pk_funbound_comment	funbound_comment	main	string			Curator comments on Funbound value
toxicity	compound_id		FK	integer			Compound ID
toxicity	id		PK	integer			Toxicity entry ID
toxicity	toxicity_source_uri	url	main	string		URL	URL of the data source
toxicity	toxicity_source_page	url_page	main	string			Page of the source document, or study identifier
toxicity	toxicity_source_type		technical	string			Source type (label, experiment etc). Note: this field is not populated at the current version
toxicity	toxicity_species	species	main	string	toxicity_species		Species where toxicity was measured (e.g. Homo sapiens)
toxicity	toxicity_population_size	population_size	main	integer			The total size of population treated with the drug, corresponding to AE frequency
