UNII,MainDrug,NDC,Strength,Formulation,INGREDIENT_NAME,ROUTE,DOSAGE_FORM,CAS_NUMBER,POTENCY_AMOUNT,POTENCY_UNIT,MAXIMUM_DAILY_EXPOSURE,MAXIMUM_DAILY_EXPOSURE_UNIT,RECORD_UPDATED
3SY5LH9PMK,apixaban,0003-0893,2.5 mg," tablet, film coated",ANHYDROUS LACTOSE,ORAL,TABLET,63423.0,,,1800.0,mg,
OP1R32D61U,apixaban,0003-0893,2.5 mg," tablet, film coated",MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
M28OL1HH48,apixaban,0003-0893,2.5 mg," tablet, film coated",CROSCARMELLOSE SODIUM,ORAL,TABLET,74811657.0,,,736.0,mg,
368GB5141J,apixaban,0003-0893,2.5 mg," tablet, film coated",SODIUM LAURYL SULFATE,ORAL,TABLET,151213.0,,,233.0,mg,
70097M6I30,apixaban,0003-0893,2.5 mg," tablet, film coated",MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
EWQ57Q8I5X,apixaban,0003-0893,2.5 mg," tablet, film coated",LACTOSE MONOHYDRATE,ORAL,TABLET,64044515.0,,,4384.0,mg,
3NXW29V3WO,apixaban,0003-0893,2.5 mg," tablet, film coated",HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
15FIX9V2JP,apixaban,0003-0893,2.5 mg," tablet, film coated",TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
XHX3C3X673,apixaban,0003-0893,2.5 mg," tablet, film coated",TRIACETIN,ORAL,TABLET,102761.0,,,208.0,mg,
EX438O2MRT,apixaban,0003-0893,2.5 mg," tablet, film coated",FERRIC OXIDE YELLOW,ORAL,TABLET,51274001.0,,,24.0,mg,
3SY5LH9PMK,apixaban,0003-0894,5 mg," tablet, film coated",ANHYDROUS LACTOSE,ORAL,TABLET,63423.0,,,1800.0,mg,
OP1R32D61U,apixaban,0003-0894,5 mg," tablet, film coated",MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
M28OL1HH48,apixaban,0003-0894,5 mg," tablet, film coated",CROSCARMELLOSE SODIUM,ORAL,TABLET,74811657.0,,,736.0,mg,
368GB5141J,apixaban,0003-0894,5 mg," tablet, film coated",SODIUM LAURYL SULFATE,ORAL,TABLET,151213.0,,,233.0,mg,
70097M6I30,apixaban,0003-0894,5 mg," tablet, film coated",MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
EWQ57Q8I5X,apixaban,0003-0894,5 mg," tablet, film coated",LACTOSE MONOHYDRATE,ORAL,TABLET,64044515.0,,,4384.0,mg,
3NXW29V3WO,apixaban,0003-0894,5 mg," tablet, film coated",HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
15FIX9V2JP,apixaban,0003-0894,5 mg," tablet, film coated",TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
XHX3C3X673,apixaban,0003-0894,5 mg," tablet, film coated",TRIACETIN,ORAL,TABLET,102761.0,,,208.0,mg,
1K09F3G675,apixaban,0003-0894,5 mg," tablet, film coated",FERRIC OXIDE RED,ORAL,TABLET,1309371.0,,,8.0,mg,
3SY5LH9PMK,apixaban,0003-3764-,5 mg," tablet, coated",ANHYDROUS LACTOSE,ORAL,TABLET,63423.0,,,1800.0,mg,
OP1R32D61U,apixaban,0003-3764-,5 mg," tablet, coated",MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
M28OL1HH48,apixaban,0003-3764-,5 mg," tablet, coated",CROSCARMELLOSE SODIUM,ORAL,TABLET,74811657.0,,,736.0,mg,
368GB5141J,apixaban,0003-3764-,5 mg," tablet, coated",SODIUM LAURYL SULFATE,ORAL,TABLET,151213.0,,,233.0,mg,
70097M6I30,apixaban,0003-3764-,5 mg," tablet, coated",MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
EWQ57Q8I5X,apixaban,0003-3764-,5 mg," tablet, coated",LACTOSE MONOHYDRATE,ORAL,TABLET,64044515.0,,,4384.0,mg,
3NXW29V3WO,apixaban,0003-3764-,5 mg," tablet, coated",HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
15FIX9V2JP,apixaban,0003-3764-,5 mg," tablet, coated",TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
XHX3C3X673,apixaban,0003-3764-,5 mg," tablet, coated",TRIACETIN,ORAL,TABLET,102761.0,,,208.0,mg,
1K09F3G675,apixaban,0003-3764-,5 mg," tablet, coated",FERRIC OXIDE RED,ORAL,TABLET,1309371.0,,,8.0,mg,
3SY5LH9PMK,apixaban,0003-0893,2.5 mg," tablet, film coated",ANHYDROUS LACTOSE,ORAL,TABLET,63423.0,,,1800.0,mg,
OP1R32D61U,apixaban,0003-0893,2.5 mg," tablet, film coated",MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
M28OL1HH48,apixaban,0003-0893,2.5 mg," tablet, film coated",CROSCARMELLOSE SODIUM,ORAL,TABLET,74811657.0,,,736.0,mg,
368GB5141J,apixaban,0003-0893,2.5 mg," tablet, film coated",SODIUM LAURYL SULFATE,ORAL,TABLET,151213.0,,,233.0,mg,
70097M6I30,apixaban,0003-0893,2.5 mg," tablet, film coated",MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
