UNII,ndc9,ndc,product_rxcui,product_name,product_tty,inactive_ingredient_rxcui,INGREDIENT_NAME_x,inactive_ingredient_tty,INGREDIENT_NAME_y,ROUTE,DOSAGE_FORM,CAS_NUMBER,POTENCY_AMOUNT,POTENCY_UNIT,MAXIMUM_DAILY_EXPOSURE,MAXIMUM_DAILY_EXPOSURE_UNIT,RECORD_UPDATED
15FIX9V2JP,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,38323,titanium dioxide,SU,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
368GB5141J,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,9871,sodium lauryl sulfate,SU,SODIUM LAURYL SULFATE,ORAL,TABLET,151213.0,,,233.0,mg,
3NXW29V3WO,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,27334,"HYPROMELLOSE, UNSPECIFIED",SU,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
3NXW29V3WO,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,27334,hypromelloses,SU,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
3SY5LH9PMK,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1307662,anhydrous lactose,SU,ANHYDROUS LACTOSE,ORAL,TABLET,63423.0,,,1800.0,mg,
70097M6I30,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1310567,magnesium stearate,SU,MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
EWQ57Q8I5X,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1305527,lactose monohydrate,SU,LACTOSE MONOHYDRATE,ORAL,TABLET,64044515.0,,,4384.0,mg,
EX438O2MRT,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1305582,ferric oxide yellow,SU,FERRIC OXIDE YELLOW,ORAL,TABLET,51274001.0,,,24.0,mg,
M28OL1HH48,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1310573,croscarmellose sodium,SU,CROSCARMELLOSE SODIUM,ORAL,TABLET,74811657.0,,,736.0,mg,
OP1R32D61U,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1000577,MICROCRYSTALLINE CELLULOSE,SU,MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
OP1R32D61U,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1000577,"cellulose, microcrystalline",SU,MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
XHX3C3X673,30893,0003-0893,1364441,"apixaban 2.5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,10756,triacetin,SU,TRIACETIN,ORAL,TABLET,102761.0,,,208.0,mg,
15FIX9V2JP,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,38323,titanium dioxide,SU,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
1K09F3G675,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1310572,ferric oxide red,SU,FERRIC OXIDE RED,ORAL,TABLET,1309371.0,,,8.0,mg,
368GB5141J,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,9871,sodium lauryl sulfate,SU,SODIUM LAURYL SULFATE,ORAL,TABLET,151213.0,,,233.0,mg,
3NXW29V3WO,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,27334,"HYPROMELLOSE, UNSPECIFIED",SU,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
3NXW29V3WO,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,27334,hypromelloses,SU,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
3SY5LH9PMK,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1307662,anhydrous lactose,SU,ANHYDROUS LACTOSE,ORAL,TABLET,63423.0,,,1800.0,mg,
70097M6I30,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1310567,magnesium stearate,SU,MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
EWQ57Q8I5X,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1305527,lactose monohydrate,SU,LACTOSE MONOHYDRATE,ORAL,TABLET,64044515.0,,,4384.0,mg,
M28OL1HH48,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1310573,croscarmellose sodium,SU,CROSCARMELLOSE SODIUM,ORAL,TABLET,74811657.0,,,736.0,mg,
OP1R32D61U,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1000577,MICROCRYSTALLINE CELLULOSE,SU,MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
OP1R32D61U,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,1000577,"cellulose, microcrystalline",SU,MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
XHX3C3X673,30894,0003-0894,1364447,"apixaban 5 mg ORAL TABLET, FILM COATED [ELIQUIS]",DP,10756,triacetin,SU,TRIACETIN,ORAL,TABLET,102761.0,,,208.0,mg,
15FIX9V2JP,33764,0003-3764,1364447,"APIXABAN 5 mg ORAL TABLET, COATED [ELIQUIS]",DP,38323,TITANIUM DIOXIDE,SU,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
1K09F3G675,33764,0003-3764,1364447,"APIXABAN 5 mg ORAL TABLET, COATED [ELIQUIS]",DP,1310572,FERRIC OXIDE RED,SU,FERRIC OXIDE RED,ORAL,TABLET,1309371.0,,,8.0,mg,
368GB5141J,33764,0003-3764,1364447,"APIXABAN 5 mg ORAL TABLET, COATED [ELIQUIS]",DP,9871,SODIUM LAURYL SULFATE,SU,SODIUM LAURYL SULFATE,ORAL,TABLET,151213.0,,,233.0,mg,
3NXW29V3WO,33764,0003-3764,1364447,"APIXABAN 5 mg ORAL TABLET, COATED [ELIQUIS]",DP,27334,"HYPROMELLOSE, UNSPECIFIED",SU,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
