UNII,ndc,product_name,INGREDIENT_NAME_x,INGREDIENT_NAME_y,ROUTE,DOSAGE_FORM,CAS_NUMBER,POTENCY_AMOUNT,POTENCY_UNIT,MAXIMUM_DAILY_EXPOSURE,MAXIMUM_DAILY_EXPOSURE_UNIT,RECORD_UPDATED
55X04QC32I,0143-9315,"LEVOFLOXACIN 250 mg in 50 mL INTRAVENOUS INJECTION, SOLUTION",SODIUM HYDROXIDE,SODIUM HYDROXIDE,ORAL,TABLET,1310732.0,,,10.0,mg,
LX22YL083G,0143-9315,"LEVOFLOXACIN 250 mg in 50 mL INTRAVENOUS INJECTION, SOLUTION",DEXTROSE MONOHYDRATE,DEXTROSE MONOHYDRATE,ORAL,TABLET,77938637.0,,,11.0,mg,
QTT17582CB,0143-9315,"LEVOFLOXACIN 250 mg in 50 mL INTRAVENOUS INJECTION, SOLUTION",HYDROCHLORIC ACID,HYDROCHLORIC ACID,ORAL,TABLET,7647010.0,2.32,mg,,,
55X04QC32I,0143-9316,"LEVOFLOXACIN 500 mg in 100 mL INTRAVENOUS INJECTION, SOLUTION",SODIUM HYDROXIDE,SODIUM HYDROXIDE,ORAL,TABLET,1310732.0,,,10.0,mg,
LX22YL083G,0143-9316,"LEVOFLOXACIN 500 mg in 100 mL INTRAVENOUS INJECTION, SOLUTION",DEXTROSE MONOHYDRATE,DEXTROSE MONOHYDRATE,ORAL,TABLET,77938637.0,,,11.0,mg,
QTT17582CB,0143-9316,"LEVOFLOXACIN 500 mg in 100 mL INTRAVENOUS INJECTION, SOLUTION",HYDROCHLORIC ACID,HYDROCHLORIC ACID,ORAL,TABLET,7647010.0,2.32,mg,,,
55X04QC32I,0143-9317,"LEVOFLOXACIN 750 mg in 150 mL INTRAVENOUS INJECTION, SOLUTION",SODIUM HYDROXIDE,SODIUM HYDROXIDE,ORAL,TABLET,1310732.0,,,10.0,mg,
LX22YL083G,0143-9317,"LEVOFLOXACIN 750 mg in 150 mL INTRAVENOUS INJECTION, SOLUTION",DEXTROSE MONOHYDRATE,DEXTROSE MONOHYDRATE,ORAL,TABLET,77938637.0,,,11.0,mg,
QTT17582CB,0143-9317,"LEVOFLOXACIN 750 mg in 150 mL INTRAVENOUS INJECTION, SOLUTION",HYDROCHLORIC ACID,HYDROCHLORIC ACID,ORAL,TABLET,7647010.0,2.32,mg,,,
55X04QC32I,0143-9720,"LEVOFLOXACIN 750 mg in 150 mL INTRAVENOUS INJECTION, SOLUTION",SODIUM HYDROXIDE,SODIUM HYDROXIDE,ORAL,TABLET,1310732.0,,,10.0,mg,
LX22YL083G,0143-9720,"LEVOFLOXACIN 750 mg in 150 mL INTRAVENOUS INJECTION, SOLUTION",DEXTROSE MONOHYDRATE,DEXTROSE MONOHYDRATE,ORAL,TABLET,77938637.0,,,11.0,mg,
QTT17582CB,0143-9720,"LEVOFLOXACIN 750 mg in 150 mL INTRAVENOUS INJECTION, SOLUTION",HYDROCHLORIC ACID,HYDROCHLORIC ACID,ORAL,TABLET,7647010.0,2.32,mg,,,
