,Application_Number,Trade_Name,Sponsor_Name,Expiration,Patent,Action,Date,Date_Withdrawn,Description,Ingredients,Number,Petitioner,Sponsor_When_Withdrawn,Address,City,CountryProvince,License_No.,Site_Name,State,Zip_Code
0,004-536,Somnopentyl Injection,"Intervet, Inc.",12/08/2016,1111111,Denied,07/13/1989,01/06/2014,Request to substitute sulfathiazole for sulfamethazine in a Type A medicated feed article for use in feed for beef cattle.,Roxarsone,89P-0191/CP1,Fermenta Animal Health Co.,Zoetis Inc.,26795 Highway 34,Wray,United States,500-745,1256 Cattle Co.,CO,80758
1,005-236,Sulfodene® Medication for Dogs,"Farnam Companies, Inc.",06/15/2029,9149456,Denied,12/06/1989,01/06/2014,Request to reconsider proposal to substitute sulfathiazole for sulfamethazine in a Type A medicated feed article for use in feed for beef cattle.,Roxarsone,89P-0191/PRC1,Fermenta Animal Health Co.,Zoetis Inc.,2955 Road 30,Stratton,United States,501-425,4M Feeders - Yard #3,CO,80836
2,005-633,Protomone Thyroactive Casein,"Agri-Tech, Inc.",07/07/2015,5776982,Approved,12/29/1989,12/22/1995,Request to differ the dosage form and strength in a Type A medicated feed article.,Diphenylhydantoin Sodium,89P-0446/CP1,"Boehringer Ingelheim Vetmedica, Inc.",Parke-Davis Div. Warner-Lambert Co.,2955 Road 30,Stratton,United States,500-756,"4M Feeders, North",CO,80836
3,006-084,"Sulmet® Drinking Water Solution, 12.5%",Huvepharma EOOD,05/14/2007,4933359,Approved,01/24/1990,01/06/2014,Request to change dosage form in NADA 131-918 (Tribrissen 400 Oral Paste) from paste to a powder mixed with feed.,Roxarsone,89P-0509/CP1,"Cheminex Laboratories, Inc.",Zoetis Inc.,2955 Road 30,Stratton,United States,500-757,"4M Feeders, South",CO,80836
4,006-103,Follutein Veterinary,Zoetis Inc.,08/06/2010,4689339,Approved,03/21/1990,07/15/1996,"Request to change Nemex Tabs from two tablet strengths, 22.7 and 113.5 milligrams per tablet to four tablet strengths, 22.7, 45.4, 90.8, and 136.2 milligrams per tablet.",Diethylcarbamazine Citrate,90P-0051/CP1,Beecham Laboratories,"Bayer HealthCare LLC, Animal Health Division",7500 Road KK,Idalia,United States,501-523,"5 Star Feedlots, Inc. dba Bonny Feeders",CO,80735
5,006-281,Intragel,Zoetis Inc.,07/07/2015,5776982,Denied,04/12/1990,11/03/1994,"Request to revoke approval of petition 89P-0446/CP approved in 1989 for Boehringer Ingelheim Animal Health, Inc.","Butacaine Sulfate, Nitrofurazone",90P-0073/CP1,A. L. Laboratories,SmithKline Beecham Animal Health,100  Mill Street,Ardmore,United States,500-855,"AC Nutrtion, LP dba Bluebonnet Feed",OK,73401
6,006-391,S.Q. 40%,Huvepharma EOOD,03/05/2022,6648851,Approved,07/31/1990,05/03/2023,"Request permission to file ANADA for change of dosage form of CSP500 and CSP250 Type A medicated feed articles containing chlortetracycline, sulfathiazole and penicillin.",Arsenamide Sodium,90P-0181/CP1,"American Cyanamid, Division AHP Corp.",Boehringer lngelheim Animal Health USA Inc.,79574 Rd. 438,Broken Bow,United States,501-424,Adams Land & Cattle Co.,NE,68822
7,006-417,RE-COVR™,"Kinetic Technologies, LLC",06/27/2015,5756506,Denied,08/21/1990,03/24/1997,Request permission to file an ANADA containing a change in dosage form to provide microencapsulation (microspheres) of the active ingredient in an injectable form of RALGRO (NADA 038-233).,Sulfaquinoxaline,90P-0213/CP1,"Micrel Limited, Inc.","Alpharma, LLC, a wholly owned subsidiary of Pfizer, Inc.",2201 E. 13th Ave.,Cordele,United States,500-093,ADM Animal Nutrition/div of Archer Daniels Midland,GA,31015-1137
8,006-602,"A-H-Tablets 100 mg, A-H-Tablets 25 mg","Intervet, Inc.",06/27/2015,5756506,Denied,10/16/1990,06/20/2016,Request reconsideration to file an ANADA containing a change in dosage form to provide microencapsulation (microspheres) of the active ingredient in an injectable form of RALGRO (NADA 038-233).,Sulfaquinoxaline,90P-0213/PRC1,"Micrel Limited, Inc.",Cross Vetpharm Group Ltd.,1877 NE 58th Street,Des Moines,United States,500-132,ADM Animal Nutrition/div of Archer Daniels Midland,IA,50313
9,006-677,20% Sulfaquinoxaline Sodium Solution,Huvepharma EOOD,07/07/2015,5776982,Approved,02/27/1991,06/06/1994,Request permission to substitute a different salt form of one active ingredient in a lincomycin spectinomycin combination. Pioneer product is NADA 046-109.,Sulfaquinoxaline,90P-0434/CP1,"Sanofi Animal Health, Inc.","Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.",1000 North 30th Street,Quincy,United States,500-091,ADM Animal Nutrition/div of Archer Daniels Midland,IL,62305-3115
