,ten_san_pham,thanh_phan_hoat_chat,dang_bao_che,dang_dong_goi,khoi_luong_the_tich,cong_dung,han_dung,so_dang_ky
0,DOXY 200 AQUA,Doxycycline hyclate,Thuốc bột uống,"Gói, Bao","10, 20, 50,
100, 200, 500
g, 1, 2, 5, 10,
20, 25 kg",Trị bệnh đỏ thân trên tôm hùm gây ra do vi khuẩn Vibrio alginolyticus,24 tháng,DN.TS14- 01
1,DOXY 500 AQUA,Doxycycline hyclate,Thuốc bột uống,"Gói, Bao","10, 20, 50,
100, 200, 500
g, 1, 2, 5, 10,
20, 25 kg",Trị bệnh đỏ thân trên tôm hùm gây ra do vi khuẩn Vibrio alginolyticus,24 tháng,DN.TS14- 02
2,OXYTETRA 700- S,Oxytetracycline HCl,Thuốc bột uống,"Gói, Bao","10, 20, 50,
100, 200, 500
g, 1, 2, 5, 10,
20, 25 kg","Trị bệnh đốm đỏ, xuất huyết trên thân, hậu môn sưng đỏ trên cá do vi khuẩn Aeromonas hydrophila và Pseudomonas fluorescens gây ra",24 tháng,DN.TS14- 03
3,DOXY 100-F,Doxycyline hyclate,Thuốc bột uống,"Gói, Bao","10, 20, 50,
100, 200, 500
g, 1, 2, 5, 10,
20, 25 kg",Trị bệnh đỏ thân trên tôm gây ra bởi vi khuẩn Vibrio alginolyticus,24 tháng,DN.TS14- 04
4,FLOR 500-F,Florfenicol,Thuốc bột uống,"Gói, Bao","10, 20, 50,
100, 200, 500
g, 1, 2, 5, 10,
20, 25 kg","Trị nhiễm trùng huyết đường ruột do vi khuẩn Edwardsiella ictaluri trên cá tra, cá basa",24 tháng,DN.TS14- 05
5,FENBEN AQUA,Fenbendazol,Thuốc bột uống,"Gói, Bao","10, 20, 50,
100, 200, 500
g, 1, 2, 5, 10,
20, 25 kg","Trị giun tròn đường ruột, trong ống mật, giun đầu gai, sán lá, sán dây trên cá",24 tháng,DN.TS14- 06
6,PARAZIL 100 AQUA,Praziquantel,Thuốc bột uống,"Gói, Bao","10, 20, 50,
100, 200, 500
g, 1, 2, 5, 10,
20, 25 kg","Trị ngoại ký sinh trùng: sán lá đơn chủ, rận; nội ký sinh trùng trên cá: sán lá gan, sán dây trên cá",24 tháng,DN.TS14- 07
7,FLOR 400-S,Florfenicol,Dung dịch uống,"Gói, Bao","5ml, 10ml, 20ml, 50ml, 100ml, 250ml, 500ml, 1, 2, 5,
10, 20, 25 Lít.",Trị xuất huyết đường ruột do vi khuẩn Edwardsiella ictaluri gây ra trên cá tra và cá basa,24 tháng,DN.TS14- 08
8,FLORSOL 200-F,Florfenicol,Dung dịch uống,"Chai, Lọ, Can","5ml, 10ml, 20ml, 50ml, 100ml, 250ml, 500ml, 1, 2, 5,
10, 20, 25 Lít.",Trị xuất huyết đường ruột do vi khuẩn Edwardsiella ictaluri gây ra trên cá tra và cá basa,24 tháng,DN.TS14- 09
9,FOSFOMYCIN 400-F,Fosfomycin,Dung dịch uống,"Chai, Lọ, Can","5ml, 10ml, 20ml, 50ml, 100ml, 250ml, 500ml, 1, 2, 5,
10, 20, 25 Lít.","Trị bệnh gan thận mủ, xuất huyết trên cá Tra, Ba sa",24 tháng,DN.TS14- 10
10,SULTRIM 240-F,"Sulfadimidine, Trimethoprim",Thuốc bột uống,"Chai, Lọ, Can","10, 20, 50,
100, 200, 500
g, 1, 2, 5, 10,
20, 25 kg",Trị bệnh do vi khuẩn Aeromonas hydrophila gây ra trên cá,24 tháng,DN.TS14- 11
11,PARAZIL 200 AQUA,Praziquantel,Thuốc bột uống,"Chai, Lọ, Can","10, 20, 50,
100, 200, 500
g, 1, 2, 5, 10,
20, 25 kg","Trị ngoại ký sinh trùng: sán lá đơn chủ, rận; nội ký sinh trùng trên cá: sán lá gan, sán dây trên cá",24 tháng,DN.TS14- 12
12,IVEMEC 40-F,Ivermectin,Dung dịch uống,"Chai, Lọ, Can","5ml, 10ml, 20ml, 50ml, 100ml, 250ml, 500ml, 1, 2, 5,
10, 20, 25 Lít.",Phòng và trị nội ký sinh trùng trên cá,24 tháng,DN.TS14- 13
13,ECO-FLOFISH 10%,Florfenicol,Thuốc bột pha tiêm,"Gói, Bao","10, 20, 50,
100, 500g; 1,
5, 10kg","Trị xuất huyết đường ruột ở cá do vi khuẩn Edwardsiella ictaluti gây ra trên cá, tôm",24 tháng,BN.TS2-1
14,ECO-FLO POWER 20%,Florfenicol,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị xuất huyết đường ruột ở cá do vi khuẩn Edwardsiella ictaluti gây ra trên cá, tôm",24 tháng,BN.TS2-10
15,ECO-FLOFISH 50%,Florfenicol,Dung dịch,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Trị xuất huyết đường ruột ở cá do vi khuẩn Edwardsiella ictaluti gây ra trên cá, tôm",24 tháng,BN.TS2-11
16,ECO-SULTRIM FISH,"Sulfadiazine, Trimethoprim",Dung dịch,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Trị nhiễm khuẩn do Aeromonas, Pseudomonas (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá, tôm",24 tháng,BN.TS2-12
17,ECO-SULFA FISH,"Ormetoprim, Sulfadimethoxin",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị nhiễm khuẩn do Aeromonas, Pseudomonas (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá, tôm",24 tháng,BN.TS2-14
18,ECO DOXYFISH POWER 20%,Doxycyclin,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg",Trị bệnh đỏ thân trên tôm do vi khuẩn Vibrio alginolyticus,24 tháng,BN.TS2-15
19,ECO-ADE FISH S,"Vitamin A, Vitamin D3, Vitamin E",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Tăng cường đề kháng bệnh, chống stress, ngăn ngừa bệnh mềm vỏ, cong thân, đục cơ trên tôm",24 tháng,BN.TS2-16
20,ECO FENDAZOL FISH,Fenbendazol,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Diệt các loại nội kí sinh trùng ở cá như giun tròn đường ruột, trong ống mật, giun đầu gai, các loại sán lá, sán dây",24 tháng,BN.TS2-17
21,ECO-VITASOL FISH,"Lysine, Methionine, Sorbitol, Vitamin C",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Ngăn ngừa thiếu hụt Vitamin C, hỗ trợ phòng ngừa và điều trị bệnh gan và bệnh phân trắng trên cá, tôm",24 tháng,BN.TS2-18
22,ECO-BETAIN FISH,"Betain, Choline Chloride, Lysin, Methionine, Sorbitol",Dung dịch,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Hỗ trợ điều trị các bệnh về chức năng gan của cá, giúp cho cá phát triển tốt",24 tháng,BN.TS2-19
23,ECO- FLOSHIRMP 20%,Florfenicol,Dung dịch,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Trị xuất huyết đường ruột ở cá do vi khuẩn Edwardsiella ictaluti gây ra trên cá, tôm",24 tháng,BN.TS2-2
24,ECO-LIVER FISH,"Inositol, Lysin, Methionine, Sorbitol",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Phục hồi chức năng gan, tuỵ, ngăn ngừa các bệnh về gan như: teo gan, sưng gan trên tôm, cá",24 tháng,BN.TS2-2
25,ECO-MIXO PLUS,"Calcium pantothenate, Phosphorus, Vitamin D3",Dung dịch,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Bổ sung Canxi, phospho giúp cho tôm nhanh cứng vỏ",24 tháng,BN.TS2-20
26,ECO-PRAZIL 5%,Praziquantel,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị ký sinh trùng trên cá (sán đơn chủ, rận ca,s sán lá gan, sán dây)",24 tháng,BN.TS2-21
27,ECO SUPER-C FISH,"Methionine, Vitamin C, Vitamin E",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Kích thích hệ miễn dịch, tăng cường sức đề kháng cho cá, phòng bệnh thiếu vitamin C, giảm tỉ lệ dị hình trên cá",24 tháng,BN.TS2-22
28,ECO-CALCI PLUS FISH,"Calcium diacid phosphate, Magnesium diacid phosphate, Manganese diacid phosphate, Zinc diacid phosphate",Dung dịch,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Khắc phục tình trạng thiếu khoáng, kích thích lột vỏ nhanh, tăng sức đề kháng cho tôm",24 tháng,BN.TS2-23
