"letter","key","content"
"A","Academic program ","A post-secondary program that awards an academic degree, diploma or professional certification. This program is often delivered at universities, colleges, seminaries and institutes of technology. "
"A","Accompanying family member
      Related term:
        Accompanying dependant
    ","A spouse, common-law partner, dependent child or dependent child of a dependent child (grandchild), who plans to immigrate to Canada with the principal applicant. Accompanying family members are included on the application. "
"A","Address","
      An address is the place where a person is living right now. It can be identified by such things as a street number, street name, apartment number, city, town, province/state and country.
      For example: A student from Mexico studying in Canada should enter the address where he or she is living in Canada.
    "
"A","Adequate knowledge of Canada","
      The Citizenship test will evaluate your knowledge of Canada. During the written exam and the interview, you will be asked questions about:
      
        the right to vote and right to run for elected office
        elections procedures
        the rights and responsibilities of a citizen
        Canadian social and cultural history and symbols
        Canadian political history (including the political system and institutions)
        Canadian physical and political geography
      
    "
"A","Adequate knowledge of language","In order to become a Canadian citizen, the Citizenship Act requires new citizens to have an ""adequate knowledge"" of English or French, Canada’s two official languages. In general, ""adequate knowledge"" means you can understand someone speaking English or French and they can understand you. ([Read a more detailed explanation of ""adequate knowledge.""](http://www.cic.gc.ca/english/helpcentre/answer.asp?qnum=567&top=5)) [We measure how well you can communicate](http://www.cic.gc.ca/english/helpcentre/answer.asp?qnum=568&top=5) using the Canadian Language Benchmarks (CLB)/Niveaux de compétence linguistique canadien (NCLC)."
"A","Admissibility","See [Inadmissibility](#inadmissibility)."
"A","Adoption","A process whereby a person becomes a member of another family. This process must create a genuine parent-child relationship that permanently severs the legal ties to the child’s biological parents or guardians."
"A","Affidavit","
      A document becomes an affidavit when a person signs the document, in the presence of an authorized person, after taking an oath that what the document says is true and accurate.
      An affidavit is often used in order to verify that a translation of a document accurately reflects what is stated in the original language of the document.
    "
"A","Age","
      When referring to the age of a permanent or temporary resident in IRCC’s statistical information:
      
        for permanent residents, their age at landing and
        for temporary residents, their age at entry or on December 1.
      
    "
"A","Annulment","A declaration that a marriage is not valid. Grounds for annulment in Canada include any case when one or both parties were not in a position to legally marry."
"A","Applicant","A person who submits an application under any of IRCC’s business lines."
"A","Application kit","See [Application package](#application_package)."
"A","Application for Leave and Judicial Review","
      An individual who has received a decision from IRCC, and who thinks that an error was made in that decision, can generally apply to the Federal Court of Canada and ask that the Court review the decision. Making an application to the Court for a review of the decision is called an Application for Leave and Judicial Review. A review means that the Court will read the decision and decide whether an error was made or not. If the Court decides that IRCC made an error, it will usually mean that IRCC has to make a new decision.
      For more information on this process, see [Apply to the Federal Court of Canada for judicial review](https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/claim-protection-inside-canada/after-apply-next-steps/refusal-options/federal-court-review.html).
    "
"A","Application package","A package including all forms, supporting documents and information needed to fill out applications for visas, permanent residence and citizenship. It is sometimes referred to as an “application kit.”"
"A","Approved in principle / Approval in principle (AIP)","
      Your application is “approved in principle (AIP)” if:
      
        you have received a letter from IRCC stating that you meet the permanent residence eligibility requirements, but
        you still have to pass the medical, security and background checks for you and, if needed, your family members.
      
    "
"A","Arranged employment","
      Arranged employment is when you have a job offer from a Canadian employer in a NOC 0, A, or B job for a continuous period of one year or more. In some cases, this job offer must be approved by Employment and Social Development Canada/Service Canada.
      See: [Valid job offer](#validjoboffer)
    "
"A","Application Support Centre (ASC)","ASCs provide biometric collection services for Canadian temporary resident visa applicants in the United States. ASCs do not accept immigrant or temporary resident applications and cannot provide information or application handling services. [Find your closest ASC](https://egov.uscis.gov/crisgwi/go?action=offices.type&OfficeLocator.office_type=ASC/english/information/offices/vac.asp)."
"A","Assessment","
      
        The identification and measurement of learning, credentials, and other forms of qualifications required for entry into programs of study or occupations (assessment may include testing, examinations, or other prescribed activities).
        A process that measures knowledge, skills and aptitudes.
      
    "
"A","Assessment tools","Refers to guidelines used by citizenship judges for evaluating a person’s English or French proficiency to help determine if someone meets citizenship language requirements."
"A","Asylum","Protection that is offered to persons with a well-founded fear of persecution based on race, religion, nationality, political opinion or membership in a particular social group, as well as those at risk of torture or cruel and unusual treatment or punishment."
