letter,key,content,,
A,"
",,,
A,Acclimatization,"
     The biological process whereby an organism adapts to a new environment. One
    example is the process of developing microorganisms that degrade toxic
    wastes in the environment.
     
    ",,
A,Accommodation Schedule,"
     Defines all areas that can influence unit operations required for
    manufacturing, and relationships and flows between them.
    



(adsbygoogle = window.adsbygoogle || []).push({});


",,
A,Account Policy,"
     Specifies how passwords must be defined and employed for all user accounts
    on a system. It specifically addresses the issues of password aging,
    password uniqueness, and locking a user account because of invalid logon
    attempts. CFR 21 Part 11 mandates technical controls in these areas
    specifically.
     
    ",,
A,Acid,"
     A compound of an electronegative element or radical with hydrogen; it form
    salts by replacing all or part of the hydrogen with an electropositive
    element or radical. Or, a hydrogen-containing substance that when dissolved
    in water dissociates to produce one or more hydrogen ions (H+).
     
    ",,
A,Acid Feed,"
     Injection of an acid into a liquid stream to make it less alkaline (pH
    adjustment).
     
    ",,
A,Action Point,"
     A value set to identify when a parameter has drifted outside the operating
    range (Acceptance Criteria). A documented response is usually required.
     
    ",,
A,Activated Carbon,"
     Material used to adsorb organic impurities from water. Derived from wood,
    lignite, pulp-mill char, blood, etc. The source material is initially
    charred at high temperature to convert it to carbon. The carbon is then ""activated""
    by oxidation from exposure to high temperature steam. It comes in granular
    or powdered form.
     
    ",,
A,Active Immunity,"
     The formation of an antibody that can be stimulated by infection or
    vaccination.
     
    ",,
A,Active Ingredient,"
     Any component that is intended to furnish pharmacological activity or other
    direct effect in the diagnosis, cure, mitigation, treatment, or prevention
    of disease, or to affect the structure or any function of the body of man or
    other animals. The term includes those components that may undergo chemical
    change in the manufacture of the drug product and are present in the drug
    product in a modified form intended to furnish the specified activity or
    effect. 
     
    ",,
A,Active Pharmaceutical Ingredient,"
     
    ",,
A,Active Site,"
     The region of a protein molecule that binds the specific substrate and
    chemically modifies it into the new product (in an enzyme) or interacts with
    it (in a receptor).
     
    ",,
A,Active Transport,"
     Energy-requiring transport of a solution across a membrane in the direction
    of increasing concentration.
     
    ",,
A,Actual Yield,"
     The quantity that is actually produced at any appropriate phase of
    manufacture, processing, or packaging of a particular drug product. 
     
    ",,
A,Adenine (A),"
     A purine base, 6-aminopurine, occurring in RNA (ribonucleic acid) and DNA
    (deoxyribonucleic acid) and as a component of adenosine triphosphate.
     
    ",,
A,ADR,"
     see: Adverse Drug Reaction
     
    ",,
A,Adsorption,"
     Adhesion of the molecules of a gas, liquid or dissolved substance to a
    surface because of chemical or electrical attraction - typically
    accomplished with granular activated carbon to remove dissolved organics and
    chlorine. The attachment of charged particles to the chemically active
    groups on the surface and in the pores of an ion exchanger.
     
    ",,
A,Adventitious Agents,"
     Acquired, sporadic, accidental contaminants.
     
    ",,
A,Adverse Agents,"
     Undesired effects or toxicity due to exposure (often but not limited to a
    drug or medical device).
     
    ",,
A,Adverse Drug Reaction (ADR),"
     An undesirable effect that may be caused by a study drug.
     
    ",,
A,Advisory Alarm,"
     An alarm indicating a drift of a monitored parameter toward an out-of-spec
    condition. It is advisory in that no GMP violation has occurred, and is used
    to advise corrective action before an action alarm can happen.
     
    ",,
A,Aerobe,"
     An organism that can live and grow only in the presence of oxygen.
     1. Facultative aerobe: one which normally thrives in the absence of oxygen,
    but which may acquire the faculty of living in the presence of oxygen.
     2. Obligate aerobe: one that cannot live without air.
     
    ",,
A,Aerobia,"
     The plural of aerobe.
     
    ",,
A,Aerobic,"
     Living in air.
     
    ",,
A,Aerobic Bacteria,"
     Bacteria capable of growing in the presence of Oxygen.
     
    ",,
A,Aerobion,"
     see: Aerobe
     
    ",,
A,Aerosol,"
     A product that is dispensed by a propellant from a metal can up to a
    maximum size of 33.8 fluid ounces (1000 mL) or a glass or plastic bottle up
    to a size of 4 fluid ounces (118.3 mL), other than a rim-vented container.
     
    ",,
A,Aerosol,"
     A gaseous suspension of fine (100µm or smaller in size) solid or
    liquid particles.
     
    ",,
A,Aerosol Photometer,"
     Light-scattering mass concentration indicating instrument with a threshold
    sensitivity of at least 10 to the negative third power microgram per liter
    for 0.3µm diameter DOP (Dioctyl Phthalate) concentrations over a range
    of 10 to the fifth power times the threshold sensitivity. Photometers may
    include hand-held remote meter probes that can scan for airborne
    contaminants in HEPA filters, in penetrations around frames, seals and
    plenums, and in hoods and work stations.
     
    ",,
A,AES,"
     see: Auger Electron Spectroscopy
     
    ",,
A,Agar,"
     A complex mixture of polysaccharides obtained from marine red algae, used
    as an emulsion stabilizer in foods, as a sizing in fabrics, as a gelling
    agent and as a solid substrate or media for the laboratory culture of
    microorganisms. Agar melts at 100?C and when cooled below 44?C
    forms a stiff and transparent gel. Microorganisms are seeded and grown on
    the surface of the gel.
     
    ",,
A,Agarose,"
     A highly purified form of agar.
     
    ",,
A,Agarose Gel Electrophoresis,"
     A method used to separate, identify, and purify molecules of different
    molecular weight and/or structure. It is specifically applied to the
    separation of protein or DNA fragments where it is rapid, simple, and
    accurate, and the separated molecules can be visualized directly by staining
    with dyes. The electrophoretic migration rate of molecules through agarose
    gel is dependent on the following parameters:
     1. Molecular size: molecules pass through the gel at rates that are
    inversely proportional to the log of their molecular weight.
     2. Agarose concentration: a molecule of a given size migrates at different
    rates through gels containing different concentrations of agarose.
     3. Molecular conformation: a molecule of the same molecular weight but of a
    different conformation will migrate at different rates. Generally, closed
    circular or globular forms will migrate faster than linear forms.
     4. Electric current: at low voltages the rate of migration is proportional
    to the voltage, but as the voltage is increased the rate of migration of
    high molecular weight fragments is increased differentially.
     
    ",,
A,Agene,"
     Nitrogen Trichloride (NCl3).
     
    ",,
A,Agglomerate,"
     Suspended solids clustered together to form larger clumps or masses that
    are easier to remove by filtration or settling.
     
    ",,
A,Agglutination,"
     The sticking together of insoluble antigens such as bacteria, viruses or
    erythrocytes by a particular antibody. Agglutination assays are used to type
    human blood before a transfusion.
     
    ",,
A,AHF (Antihemophilic Factor),"
     In the clotting of blood it is also known as Factor VIII. 
     
    ",,
A,Airborne Particulate Cleanliness Classes,"
     Statistically allowable number of particles equal to, or larger than 0.5µm
    in size per cubic foot of air. According to ISO 14644-1, a classification
    number, N, shall designate airborne particulate cleanliness.
     
    ",,
