ndc,product_name,inactive_ingredient_unii,inactive_ingredient_name,active,prescribable
50242-051,"RITUXIMAB 10 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION [Rituxan]",059QF0KO0R,WATER,True,True
50242-051,"RITUXIMAB 10 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION [Rituxan]",451W47IQ8X,SODIUM CHLORIDE,True,True
50242-051,"RITUXIMAB 10 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION [Rituxan]",6OZP39ZG8H,POLYSORBATE 80,True,True
50242-051,"RITUXIMAB 10 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION [Rituxan]",B22547B95K,TRISODIUM CITRATE DIHYDRATE,True,True
50242-053,"RITUXIMAB 10 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION [Rituxan]",059QF0KO0R,WATER,True,True
50242-053,"RITUXIMAB 10 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION [Rituxan]",451W47IQ8X,SODIUM CHLORIDE,True,True
50242-053,"RITUXIMAB 10 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION [Rituxan]",6OZP39ZG8H,POLYSORBATE 80,True,True
50242-053,"RITUXIMAB 10 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION [Rituxan]",B22547B95K,TRISODIUM CITRATE DIHYDRATE,True,True
50242-108,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",059QF0KO0R,WATER,True,True
50242-108,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",4QD397987E,HISTIDINE,True,True
50242-108,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",6OZP39ZG8H,POLYSORBATE 80,True,True
50242-108,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",7YIN7J07X4,TREHALOSE DIHYDRATE,True,True
50242-108,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",AE28F7PNPL,METHIONINE,True,True
50242-108,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",X573657P6P,HISTIDINE MONOHYDROCHLORIDE MONOHYDRATE,True,True
50242-109,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",059QF0KO0R,WATER,True,True
50242-109,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",4QD397987E,HISTIDINE,True,True
50242-109,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",6OZP39ZG8H,POLYSORBATE 80,True,True
50242-109,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",7YIN7J07X4,TREHALOSE DIHYDRATE,True,True
50242-109,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",AE28F7PNPL,METHIONINE,True,True
50242-109,"RITUXIMAB 120 mg in 1 mL / HYALURONIDASE (HUMAN RECOMBINANT) 2000 U in 1 mL SUBCUTANEOUS INJECTION, SOLUTION [Rituxan Hycela]",X573657P6P,HISTIDINE MONOHYDROCHLORIDE MONOHYDRATE,True,True
