INGREDIENT_NAME,ROUTE,DOSAGE_FORM,CAS_NUMBER,UNII,POTENCY_AMOUNT,POTENCY_UNIT,MAXIMUM_DAILY_EXPOSURE,MAXIMUM_DAILY_EXPOSURE_UNIT,RECORD_UPDATED
.ALPHA.-TERPINEOL,TOPICAL,LOTION,98555,21334LVV8W,11,%w/w,,,
.ALPHA.-TOCOPHEROL,BUCCAL,"FILM, SOLUBLE",1406184,H4N855PNZ1,0.07,mg,,,
.ALPHA.-TOCOPHEROL,INTRAVENOUS,"INJECTION, POWDER, FOR SUSPENSION",1406184,H4N855PNZ1,0.64,mg,,,
.ALPHA.-TOCOPHEROL,ORAL,CAPSULE,1406184,H4N855PNZ1,,,16,mg,
.ALPHA.-TOCOPHEROL,ORAL,SOLUTION,1406184,H4N855PNZ1,1.05,mg/1ml,,,
.ALPHA.-TOCOPHEROL,ORAL,TABLET,1406184,H4N855PNZ1,,,1,mg,
.ALPHA.-TOCOPHEROL,ORAL,"TABLET, CHEWABLE",1406184,H4N855PNZ1,0.1,mg,,,
.ALPHA.-TOCOPHEROL,ORAL,"TABLET, EXTENDED RELEASE",1406184,H4N855PNZ1,,,4,mg,
.ALPHA.-TOCOPHEROL,ORAL,"TABLET, FILM COATED",1406184,H4N855PNZ1,,,246,mg,
.ALPHA.-TOCOPHEROL,TOPICAL,OINTMENT,1406184,H4N855PNZ1,,NA,,,
.ALPHA.-TOCOPHEROL,TOPICAL,SYSTEM,1406184,H4N855PNZ1,0.1,mg,,,
.ALPHA.-TOCOPHEROL ACETATE,BUCCAL,FILM,7695912,9E8X80D2L0,0.09,mg,,,
.ALPHA.-TOCOPHEROL ACETATE,ORAL,CAPSULE,7695912,9E8X80D2L0,2,mg,,,
.ALPHA.-TOCOPHEROL ACETATE,ORAL,TABLET,7695912,9E8X80D2L0,0.5,mg,,,
".ALPHA.-TOCOPHEROL ACETATE, DL-",TOPICAL,"AEROSOL, FOAM",52225204,WR1WPI7EW8,,NA,,,
".ALPHA.-TOCOPHEROL ACETATE, DL-",TOPICAL,OINTMENT,52225204,WR1WPI7EW8,,NA,,,
".ALPHA.-TOCOPHEROL, DL-",INTRAVENOUS,"INJECTION, EMULSION",10191410,7QWA1RIO01,,,178,mg,
".ALPHA.-TOCOPHEROL, DL-",INTRAVENOUS,"SOLUTION, CONCENTRATE",10191410,7QWA1RIO01,0.08,%w/v,,,
".ALPHA.-TOCOPHEROL, DL-",ORAL,CAPSULE,10191410,7QWA1RIO01,,,7,mg,
".ALPHA.-TOCOPHEROL, DL-",ORAL,"POWDER, FOR SUSPENSION",10191410,7QWA1RIO01,,NA,,,
".ALPHA.-TOCOPHEROL, DL-",ORAL,SUSPENSION,10191410,7QWA1RIO01,0.01,mg/1ml,,,
".ALPHA.-TOCOPHEROL, DL-",ORAL,TABLET,10191410,7QWA1RIO01,0.12,mg,,,
".ALPHA.-TOCOPHEROL, DL-",ORAL,"TABLET, CHEWABLE",10191410,7QWA1RIO01,0.02,mg,,,
".ALPHA.-TOCOPHEROL, DL-",TOPICAL,"AEROSOL, FOAM",10191410,7QWA1RIO01,,NA,,,
".ALPHA.-TOCOPHEROL, DL-",TOPICAL,OINTMENT,10191410,7QWA1RIO01,,NA,,,
