Brand Name,Generic Name,Approval Date,Manufacturer,Drug Class
['SILICEA'],SILICEA,20210902,"['Rxhomeo Private Limited d.b.a. Rxhomeo, Inc']",N/A
N/A,N/A,20150109,N/A,N/A
N/A,N/A,20230802,N/A,N/A
N/A,N/A,20230905,N/A,N/A
['Naproxen'],NAPROXEN,20240904,['A-S Medication Solutions'],N/A
N/A,N/A,20201214,N/A,N/A
['Moisturizing Antibacterial'],BENZALKONIUM CHLORIDE,20241016,"['Wal-Mart Stores, Inc.,']",N/A
N/A,N/A,20130320,N/A,N/A
N/A,N/A,20181115,N/A,N/A
['Quick Action'],SALICYLIC ACID,20241015,['Equate'],N/A
['Cuprum aceticum Nicotiana'],CUPRUM ACETICUM NICOTIANA,20240304,['Uriel Pharmacy Inc.'],N/A
['Mekinist'],TRAMETINIB,20241001,['Novartis Pharmaceuticals Corporation'],N/A
N/A,N/A,20160809,N/A,N/A
['Glimepiride'],GLIMEPIRIDE,20221004,['American Health Packaging'],N/A
N/A,N/A,20170622,N/A,N/A
['Methocarbamol'],METHOCARBAMOL,20200801,['Proficient Rx LP'],N/A
['anti itch'],HYDROCORTISONE,20240917,"['Meijer, Inc.']",N/A
['NP Thyroid 120'],"LEVOTHYROXINE, LIOTHYRONINE",20241015,"['Acella Pharmaceuticals, LLC']",N/A
N/A,N/A,20221201,N/A,N/A
N/A,N/A,20171112,N/A,N/A
['Rescue Sleep'],"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER",20201019,"['Nelson Bach USA, Ltd.']",N/A
['Pain Reliever Extra Strength'],ACETAMINOPHEN,20240417,['Valu Merchandisers Company'],N/A
N/A,N/A,20160419,N/A,N/A
N/A,N/A,20171119,N/A,N/A
N/A,N/A,20100819,N/A,N/A
N/A,N/A,20211216,N/A,N/A
['OASIS Tears Lubricant Eye'],GLYCERIN,20180202,"['OASIS Medical, Inc.']",N/A
N/A,N/A,20130307,N/A,N/A
['Polymyxin B Sulfate and Trimethoprim'],POLYMYXIN B SULFATE AND TRIMETHOPRIM SULFATE,20230912,['A-S Medication Solutions'],N/A
N/A,N/A,20100507,N/A,N/A
N/A,N/A,20201218,N/A,N/A
N/A,N/A,20161108,N/A,N/A
N/A,N/A,20091125,N/A,N/A
N/A,N/A,20101018,N/A,N/A
N/A,N/A,20130228,N/A,N/A
N/A,N/A,20210707,N/A,N/A
N/A,N/A,20141207,N/A,N/A
['Betamethasone Dipropionate'],BETAMETHASONE DIPROPIONATE,20210406,"['Taro Pharmaceuticals U.S.A., Inc.']",N/A
N/A,N/A,20231115,N/A,N/A
N/A,N/A,20180404,N/A,N/A
['Lights Povindone Iodine Scrub'],POVIDONE-IODINE,20231128,"['Lights Medical Manufacture Co., Ltd.']",N/A
['Calcium Acetate'],CALCIUM ACETATE,20210601,"['Cipla USA Inc.,']",N/A
N/A,N/A,20191212,N/A,N/A
N/A,N/A,20230206,N/A,N/A
N/A,N/A,20120711,N/A,N/A
['ENTRESTO'],SACUBITRIL AND VALSARTAN,20240722,['Novartis Pharmaceuticals Corporation'],N/A
N/A,N/A,20170214,N/A,N/A
N/A,N/A,20151106,N/A,N/A
N/A,N/A,20140430,N/A,N/A
N/A,N/A,20150807,N/A,N/A
N/A,N/A,20141007,N/A,N/A
['VERADEX-E'],PETROLATUM AND LANOLIN,20231101,"['ABBE Laboratories, Inc.']",N/A
N/A,N/A,20190321,N/A,N/A
N/A,N/A,20120307,N/A,N/A
['Numbed As FXXK'],TOPICAL ANESTHETIC CREAM,20230709,['Blackbull Store LLC'],N/A
N/A,N/A,20160517,N/A,N/A
['Etodolac'],ETODOLAC,20240625,['A-S Medication Solutions'],N/A
N/A,N/A,20060608,N/A,N/A
N/A,N/A,20240404,N/A,N/A
N/A,N/A,20130827,N/A,N/A
['basic care acetaminophen'],ACETAMINOPHEN,20241024,['Amazon.com Services LLC'],N/A
N/A,N/A,20170112,N/A,N/A
N/A,N/A,20180411,N/A,N/A
['Lidozen'],"LIDOCAINE, MENTHOL",20231129,"['Village Pharma, LLC']",N/A
['Anticavity Rinse'],SODIUM FLUORIDE,20240819,"['Meijer Distribution, Inc.']",N/A
['Sertraline Hydrochloride'],SERTRALINE HYDROCHLORIDE,20191101,['Proficient Rx LP'],N/A
['Antibacterial 2X'],BENZALKONIUM CHLORIDE,20220117,['Sante Manufacturing Inc'],N/A
['Acid Reducer'],ESOMEPRAZOLE MAGNESIUM,20230825,['CVS Pharmacy'],N/A
N/A,N/A,20240115,N/A,N/A
['DAYDREAM CUSHION GENTLE LIGHT'],"AVOBENZONE, HOMOSALATE, OCTISALATE, TITANIUM DIOXIDE",20240429,['EM Cosmetics LLC'],N/A
['FOREVER SKIN GLOW 24h wear radiant foundation Perfection and hydration Concentrated floral skincare with suncreen Broad spectrum SPF 15 00'],"OCTISALATE, TITANIUM DIOXIDE",20240806,['Parfums Christian Dior'],N/A
N/A,N/A,20120625,N/A,N/A
['Foster and Thrive Dry Eye Relief'],POLYETHYLENE GLYCOL 400,20231223,['Strategic Sourcing Services LLC'],N/A
N/A,N/A,20230709,N/A,N/A
['Dexbrompheniramine-DM-Phenylephrine 2-15-7.5'],"DEXBROMPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE AND PHENYLEPHRINE HYDROCHLORIDE",20230709,"['AddGen Pharmaceuticals, Inc.']",N/A
['Foster and Thrive Advanced Relief Eye Drops'],"POLYETHYLENE GLYCOL 400, TETRAHYDROZOLINE HCL",20231223,['Strategic Sourcing Services LLC'],N/A
N/A,N/A,20180626,N/A,N/A
N/A,N/A,20220426,N/A,N/A
N/A,N/A,20190815,N/A,N/A
N/A,N/A,20120830,N/A,N/A
N/A,N/A,20120405,N/A,N/A
N/A,N/A,20201216,N/A,N/A
['Nicotine'],NICOTINE POLACRILEX,20231101,['Rite Aid Corporation'],N/A
['Isopropyl Alcohol'],ISOPROPYL ALCOHOL,20240909,['Cariba International'],N/A
N/A,N/A,20190415,N/A,N/A
N/A,N/A,20220425,N/A,N/A
['Dronabinol'],DRONABINOL,20230330,['Bryant Ranch Prepack'],N/A
N/A,N/A,20181224,N/A,N/A
N/A,N/A,20130617,N/A,N/A
N/A,N/A,20170125,N/A,N/A
N/A,N/A,20091203,N/A,N/A
N/A,N/A,20160806,N/A,N/A
N/A,N/A,20170927,N/A,N/A
N/A,N/A,20220331,N/A,N/A
['Fludrocortisone Acetate'],FLUDROCORTISONE ACETATE,20240926,['American Health Packaging'],N/A
N/A,N/A,20100709,N/A,N/A
['FLOVENT DISKUS'],FLUTICASONE PROPIONATE,20230811,['GlaxoSmithKline LLC'],N/A
['Enalapril Maleate'],ENALAPRIL MALEATE,20240402,['REMEDYREPACK INC.'],N/A
['LACOSAMIDE'],LACOSAMIDE,20241016,"['Somerset Therapeutics, LLC']",N/A
['CeraVe Developed with Dermatologists Acne Control Cleanser'],SALICYLIC ACID,20231231,"[""L'Oreal USA Products Inc""]",N/A
['Naproxen Sodium 220mg'],NAPROXEN SODIUM 220MG,20181214,"['Command Brands, LLC']",N/A
N/A,N/A,20210206,N/A,N/A
['Suds High Foaming Antiseptic Hand and Body Wash'],CHLOROXYLENOL,20181227,"['Pro chem, Inc.']",N/A
N/A,N/A,20210506,N/A,N/A
N/A,N/A,20161012,N/A,N/A
['Leader Earwax Removal Drops Earwax Removal Aid'],CARBAMIDE PEROXIDE,20240823,"['Cardinal Health, Inc.']",N/A
N/A,N/A,20140522,N/A,N/A
['VITAMIN C ESTER PHOTO-BRIGHTROAD SPECTRUM SPF 30 30ml'],TITANIUM DIOXIDE,20230710,['N.V Perricone LLC'],N/A
N/A,N/A,20230710,N/A,N/A
['Amphetamine Sulfate'],AMPHETAMINE SULFATE,20230524,['SpecGx LLC'],N/A
['VITAMIN C ESTER PHOTO-BRIGHTROAD SPECTRUM SPF 30 59ml'],TITANIUM DIOXIDE,20230710,['N.V Perricone LLC'],N/A
N/A,N/A,20091123,N/A,N/A
['Dove'],EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,20241106,"['Conopco, Inc. d/b/a Unilever']",N/A
['Dove'],EVEN TONE PLUS NIACINAMIDE PEACH BLOSSOM AND RICE MILK DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,20241106,"['Conopco, Inc. d/b/a Unilever']",N/A
N/A,N/A,20131105,N/A,N/A
N/A,N/A,20190116,N/A,N/A
N/A,N/A,20241002,N/A,N/A
N/A,N/A,20120120,N/A,N/A
['Apis Mell.'],APIS MELL.,20210124,"['True Botanica, LLC']",N/A
['Dove'],EVEN TONE PLUS NIACINAMIDE SHEA BUTTER AND VANILLA DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,20241106,"['Conopco, Inc. d/b/a Unilever']",N/A
['Diclofenac Sodium Topical Sol'],DICLOFENAC SODIUM TOPICAL SOL,20230710,['Direct_Rx'],N/A
N/A,N/A,20240119,N/A,N/A
N/A,N/A,20210416,N/A,N/A
['Sports For Trauma Gel'],"BELLIS PERENNIS, HYPERICUM PERFOMATUM,TOXICODENDRON PUBSCENS LEAF, RUTA GRAVEOLENS FLOWERING TOP",20231026,"['Schwabe Mexico, S.A. de C.V.']",N/A
N/A,N/A,20171202,N/A,N/A
['tramadol hydrochloride'],TRAMADOL HYDROCHLORIDE,20230331,"['Northwind Pharmaceuticals, LLC']",N/A
N/A,N/A,20100728,N/A,N/A
['Phenazopyridine Hydrochloride'],PHENAZOPYRIDINE,20240923,['Bryant Ranch Prepack'],N/A
N/A,N/A,20201015,N/A,N/A
['Olay Regenerist Regenerating with Sunscreen Broad Spectrum SPF 15'],"AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE",20230710,['The Procter & Gamble Manufacturing Company'],N/A
N/A,N/A,20231027,N/A,N/A
['Nu Skin Sunright Lip Balm Broad Spectrum SPF 15'],"OCTINOXATE, AVOBENZONE, AND OCTOCRYLENE",20220114,"['NSE Products, Inc.']",N/A
['Attitude Diaper Cream Zinc Unscented'],ZINC OXIDE,20241002,['9055-7588 Quebec Inc. (Attitude)'],N/A
['Famotidine'],FAMOTIDINE,20240730,"['PD-Rx Pharmaceuticals, Inc.']",N/A
['Equate Honey Lemon Cough Drops'],MENTHOL,20230710,['WalMart'],N/A
['Dragon Pain Relieving Balm'],"CAMPHOR, MENTHOL",20230710,"['Americanna Wellness, Inc.']",N/A
N/A,N/A,20220222,N/A,N/A
['Eminence Radiant Protection SPF Fluid'],ZINC OXIDE,20230710,['Eminence Organic Skin Care'],N/A
N/A,N/A,20181218,N/A,N/A
['CALMING DIAPER RASH'],ZINC OXIDE,20201106,['ORGANIC & SUSTAINABLE BEAUTY'],N/A
N/A,N/A,20200429,N/A,N/A
['Signature Care Allergy Relief'],LORATADINE,20191216,['Safeway'],N/A
N/A,N/A,20230125,N/A,N/A
N/A,N/A,20181212,N/A,N/A
['Aluminium Fluoratum'],ALUMINIUM FLUORATUM,20230710,"['Hahnemann Laboratories, INC.']",N/A
N/A,N/A,20190116,N/A,N/A
N/A,N/A,20241102,N/A,N/A
N/A,N/A,20140331,N/A,N/A
['Foster and Thrive Original Formula Eye Drops'],TETRAHYDROZOLINE HCL,20231223,['Strategic Sourcing Services LLC'],N/A
['Dragon Pain Relieving Balm'],"CAMPHOR, MENTHOL",20230710,"['Americanna Wellness, Inc.']",N/A
['Dragon Pain Relieving Balm'],"CAMPHOR, MENTHOL",20230710,"['Americanna Wellness, Inc.']",N/A
['Dragon Pain Relieving Balm'],"CAMPHOR, MENTHOL",20230710,"['Americanna Wellness, Inc.']",N/A
['Olanzapine'],OLANZAPINE,20230710,"['Lannett Company, Inc.']",N/A
N/A,N/A,20180111,N/A,N/A
N/A,N/A,20171109,N/A,N/A
N/A,N/A,20231127,N/A,N/A
['Dragon Pain Relieving Balm'],"CAMPHOR, MENTHOL",20230710,"['Americanna Wellness, Inc.']",N/A
N/A,N/A,20240911,N/A,N/A
['PETITCOCHON TONE UP BODY SUN'],"ADENOSINE, NIACINAMIDE",20230711,['LAON COMMERCE co ltd'],N/A
['Aluminium Nitricum'],ALUMINIUM NITRICUM,20230711,"['Hahnemann Laboratories, INC.']",N/A
['Metronidazole'],METRONIDAZOLE,20230209,['Sandoz Inc.'],N/A
['ORFADIN'],NITISINONE,20220620,['Swedish Orphan Biovitrum AB (publ)'],N/A
['Calm Mood'],"GARLIC, AVENA SATIVA FLOWERING TOP, ANGELICA ARCHANGELICA ROOT, ARABICA COFFEE BEAN, HOLY BASIL LEAF, PASSIFLORA EDULIS FLOWER, SCUTELLARIA LATERIFLORA WHOLE, VERBENA HASTATA TOP, AND MACROPIPER METHYSTICUM ROOT",20210709,['Forces of Nature'],N/A
N/A,N/A,20190419,N/A,N/A
N/A,N/A,20231211,N/A,N/A
N/A,N/A,20200917,N/A,N/A
['Tri-Vite Drops with Fluoride'],"ASCORBIC ACID, SODIUM FLUORIDE, VITAMIN A AND VITAMIN D",20231212,"['Method Pharmaceuticals, LLC']",N/A
N/A,N/A,20220818,N/A,N/A
N/A,N/A,20210305,N/A,N/A
N/A,N/A,20130830,N/A,N/A
['ondansetron hydrochloride'],ONDANSETRON HYDROCHLORIDE,20240424,"['NCS HealthCare of KY, LLC dba Vangard Labs']",N/A
['MediChoice Moisturizing Lip Balm SPF15'],"AVOBENZONE, OCTINOXATE, OCTISALATE, OCTOCRYLENE",20231030,"['Owens & Minor Distribution, Inc.']",N/A
N/A,N/A,20161024,N/A,N/A
['Azithromycin'],AZITHROMYCIN,20240109,['Preferred Pharmaceuticals Inc.'],N/A
['Divalproex Sodium'],DIVALPROEX SODIUM,20240615,['Mylan Pharmaceuticals Inc.'],N/A
N/A,N/A,20120703,N/A,N/A
N/A,N/A,20241002,N/A,N/A
N/A,N/A,20241107,N/A,N/A
['Congestion PE'],PHENYLEPHRINE HYDROCHLORIDE,20241011,['Harris Teeter'],N/A
['Metoclopramide'],METOCLOPRAMIDE,20241112,['American Health Packaging'],N/A
N/A,N/A,20140814,N/A,N/A
N/A,N/A,20201006,N/A,N/A
['Dove'],EVEN TONE PLUS NIACINAMIDE PEACH BLOSSOM AND RICE MILK ANTIPERSPIRANT DEODORANT,20241106,['Conopco Inc. d/b/a/ Unilever'],N/A
N/A,N/A,20170126,N/A,N/A
N/A,N/A,20180406,N/A,N/A
['Dove'],EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER ANTIPERSPIRANT DEODORANT,20241106,['Conopco Inc. d/b/a/ Unilever'],N/A
