 Name , Year ,SMILES,MW,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,TPSA,XLOGP3
 ACRISORCIN ,0,CCCCCCc(ccc(O)c1)c1O,194.27,0.5,5,2,2,40.46,3.45
 AMDINOCILLIN ,1984,CC(C)([C@H]1C([O-])=O)S[C@@H]([C@H]2/N=C/N3CCCCCC3)N1C2=O,324.42,0.8,3,4,0,101.34,2.14
 BETAZOLE ,0,NCCc1ccn[nH]1,111.15,0.4,2,2,2,54.7,-0.43
 CANDICIDIN ,0,C[C@@H](C[C@@H](C)[C@H]([C@@H](C)/C=C\C=C/C=C\C=C/C=C\C=C/C=C\[C@@H](C[C@@H]([C@@H]([C@H](C1)O)C([O-])=O)O[C@@]1(C[C@H](C[C@H](C[C@H](CC(CCCC(C1)=O)=O)O)O)O)O)O[C@@H]([C@H]([C@H]2N)O)O[C@H](C)[C@H]2O)OC1=O)[C@@H](CC(c(cc1)ccc1N)=O)O,1109.3,###,###,###,###,###,###
 CERULETIDE ,0,C[C@H]([C@@H](C(NCC(N[C@@H](Cc1c[nH]c2c1cccc2)C(N[C@@H](CCSC)C(N[C@@H](CC([O-])=O)C(N[C@@H](Cc1ccccc1)C(N)=O)=O)=O)=O)=O)=O)NC([C@H](Cc(cc1)ccc1OS(O)(=O)=O)NC([C@H](CC([O-])=O)NC([C@H](CCC(N)=O)NC([C@H](CC1)NC1=O)=O)=O)=O)=O)O,1350.39,0.41,47,21,15,590.74,-3.03
 CHLORAMPHENICOL PALMITATE ,1954,CCCCCCCCCCCCCCCC(OC[C@H]([C@@H](c(cc1)ccc1[N+]([O-])=O)O)NC(C(Cl)Cl)=O)=O,323.13,0.36,7,5,3,115.38,1.14
 CHLORPHENTERMINE ,0,CC(C)(Cc(cc1)ccc1Cl)N,274.79,0.31,5,2,0,16.13,3.39
 CLIOQUINOL ,1949,Oc(c1ncccc1c(Cl)c1)c1I,502.95,0.94,10,9,3,189.56,-1.22
 CYCLOGUANIL ,0,CC1(C)N=C(N)N=C(N)N1c(cc1)ccc1Cl,251.72,0.27,1,2,2,80,1.03
 DESLANOSIDE ,1982,C[C@H]([C@H]([C@H](C1)O)O[C@@H](C[C@@H]2O)O[C@H](C)[C@H]2O[C@@H](C[C@@H]2O)O[C@H](C)[C@H]2O[C@@H]([C@@H]([C@H]2O)O)O[C@H](CO)[C@H]2O)O[C@H]1O[C@@H](CC1)C[C@@H](CC2)[C@@]1(C)[C@@H](C[C@H]([C@]1(C)[C@H](CC3)C(CO4)=CC4=O)O)[C@@H]2[C@]13O,943.08,0.94,10,19,9,282.21,-0.5
 DESOXYCORTICOSTERONE ,0,C[C@@](CC1)([C@H](CC2)[C@@H](CC3)[C@@H]1[C@](C)(CC1)C3=CC1=O)[C@@H]2C(CO)=O,330.46,0.81,2,3,1,54.37,2.88
 DESOXYCORTICOSTERONE PIVALATE ,0,CC(C)(C)C(OCC([C@H](CC1)[C@](C)(CC2)[C@H]1[C@@H](CC1)[C@@H]2[C@](C)(CC2)C1=CC2=O)=O)=O,414.58,0.81,5,4,0,60.44,4.48
 DEZOCINE ,0,C[C@](CCCCC[C@H]1C2)([C@H]1N)c1c2ccc(O)c1,245.36,0.62,0,2,2,46.25,3.69
 DIACETOLOL ,0,CC(C)NCC(COc(ccc(NC(C)=O)c1)c1C(C)=O)O,308.37,0.5,9,5,3,87.66,0.94
 DIBUCAINE ,0,CCCCOc1nc2ccccc2c(C(NCCN(CC)CC)=O)c1,343.46,0.5,11,4,1,54.46,4.4
 DIHYDROARTEMISININ ,0,C[C@H](CC[C@H]1[C@H]2C)[C@H](CC3)[C@]11OO[C@@]3(C)O[C@H]1O[C@@H]2O,284.35,1,0,5,1,57.15,2.99
 DIMESNA ,0,OS(CCSSCCS(O)(=O)=O)(=O)=O,282.38,1,7,6,2,176.1,-1.32
 DIPHENYLPYRALINE ,0,CN(CC1)CCC1OC(c1ccccc1)c1ccccc1,281.39,0.37,4,2,0,12.47,3.86
 DROMOSTANOLONE PROPIONATE ,0,CCC(O[C@@H](CC1)[C@@](C)(CC2)[C@@H]1[C@H](CC1)[C@H]2[C@@](C)(C[C@H]2C)[C@@H]1CC2=O)=O,360.53,0.91,3,3,0,43.37,5.03
 DYDROGESTERONE ,0,C[C@](CC[C@H]1[C@]2(C)CC3)([C@@H](CC4)[C@@H]1C=CC2=CC3=O)[C@H]4C(C)=O,312.45,0.71,1,2,0,34.14,3.79
 ESLICARBAZEPINE ,2009,NC(N(c1c(CC2O)cccc1)c1c2cccc1)=O,254.28,0.13,1,2,2,66.56,1.45
 ESTRAMUSTINE ,1968,C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1c(cc1)c3cc1OC(N(CCCl)CCCl)=O)[C@H]2O,440.4,0.7,7,3,1,49.77,4
 ETHOPROPAZINE ,0,CCN(CC)C(C)CN1c(cccc2)c2Sc2c1cccc2,312.47,0.37,5,1,0,31.78,4.77
 FLUDARABINE ,1991,Nc1c2ncn([C@H]([C@@H]3O)O[C@@H](CO)[C@@H]3O)c2nc(F)n1,285.23,0.5,2,8,4,139.54,-0.8
 FLUMETHASONE PIVALATE ,0,C[C@H](C[C@@H]([C@H](C[C@@H](C([C@]1(C)C=C2)=CC2=O)F)[C@@]11F)[C@]2(C)C[C@@H]1O)[C@@]2(C(COC(C(C)(C)C)=O)=O)O,494.57,0.74,5,8,2,100.9,3.86
 FOSINOPRILAT ,0,[O-]C([C@@H](C[C@@H](C1)C2CCCCC2)N1C(C[P@@](CCCCc1ccccc1)(O)=O)=O)=O,434.49,0.65,10,5,1,107.55,4.95
 FOSPROPOFOL ,2008,CC(C)c1cccc(C(C)C)c1OCOP([O-])([O-])=O,286.26,0.54,6,5,0,91.46,2.46
 GALLAMINE ,0,CCN(CC)CCOc1cccc(OCCN(CC)CC)c1OCCN(CC)CC,423.63,0.75,18,6,0,37.41,3.32
 HALOBETASOL ,0,C[C@@H](C[C@@H]([C@H](C[C@@H](C([C@]1(C)C=C2)=CC2=O)F)[C@@]11F)[C@]2(C)C[C@@H]1O)[C@@]2(C(CCl)=O)O,428.9,0.73,2,6,2,74.6,2.66
 HEXAFLUORENIUM ,0,C[N+](C)(CCCCCC[N+](C)(C)C1c(cccc2)c2-c2c1cccc2)C1c(cccc2)c2-c2c1cccc2,502.73,0.33,9,0,0,0,7.55
 HEXYLCAINE ,0,CC(CNC1CCCCC1)OC(c1ccccc1)=O,261.36,0.56,6,3,1,38.33,3.59
 ICOSAPENT ,2012,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC([O-])=O,301.44,0.45,13,2,0,40.13,
 ISAVUCONAZOLE ,2015,C[C@@H]([C@@](Cn1ncnc1)(c(cc(cc1)F)c1F)O)c1nc(-c(cc2)ccc2C#N)cs1,437.47,0.18,6,7,1,115.86,3.54
 IXAZOMIB ,2015,CC(C)CC(B(O)O)NC(CNC(c(cc(cc1)Cl)c1Cl)=O)=O,361.03,0.43,9,4,4,98.66,2.49
 LEUCOMETHYLENE BLUE ,0,CN(C)c(cc1)cc2c1Nc(ccc(N(C)C)c1)c1S2,285.41,0.25,2,0,1,43.81,3.86
 LEVOMEPROMAZINE ,0,CC(CN(C)C)CN1c(cc(cc2)OC)c2Sc2c1cccc2,457.44,0.35,10,7,5,208.43,-0.49
 LYPRESSIN ,0,NCCCC[C@@H](C(NCC(N)=O)=O)NC([C@H](CCC1)N1C([C@H](CSSC[C@@H](C(N[C@@H](Cc(cc1)ccc1O)C(N[C@H](Cc1ccccc1)C(N[C@@H](CCC(N)=O)C(N[C@H]1CC(N)=O)=O)=O)=O)=O)N)NC1=O)=O)=O,1056.22,0.5,22,14,13,476.15,-3.86
 MEBUTAMATE ,0,CCC(C)C(C)(COC(N)=O)COC(N)=O,232.28,0.8,8,4,2,104.64,1.39
 MECLOCYCLINE ,0,CN(C)[C@H]([C@@H]([C@@H]([C@@H](C(c(c(C1=O)c(cc2)O)c2Cl)=C)C1=C1O)O)[C@@]11O)C(O)=C(C(N)=O)C1=O,476.86,0.32,2,9,6,181.62,0.38
 MENADIONE ,0,CC(C(c1c2cccc1)=O)=CC2=O,172.18,0.09,0,2,0,34.14,2.2
 METHACYCLINE ,0,CN(C)[C@H]([C@@H]([C@@H]([C@@H](C(c1cccc(O)c1C1=O)=C)C1=C1O)O)[C@@]11O)C(O)=C(C(N)=O)C1=O,442.42,0.32,2,9,6,181.62,-0.24
 METHARBITAL ,0,CCC(CC)(C(NC(N1C)=O)=O)C1=O,198.22,0.67,2,3,1,66.48,1.15
 METHIXENE ,0,CN1CC(CC2c(cccc3)c3Sc3c2cccc3)CCC1,309.47,0.4,2,1,0,28.54,4.92
 MOEXIPRILAT ,0,C[C@@H](C(N(Cc(cc1OC)c(C2)cc1OC)[C@@H]2C(O)=C)=O)N[C@@H](CCc1ccccc1)C([O-])=O,467.53,0.38,11,7,2,111.16,0.97
 MOMETASONE ,0,C[C@H](C[C@@H]([C@H](CCC([C@]1(C)C=C2)=CC2=O)[C@@]11Cl)[C@]2(C)C[C@@H]1O)[C@@]2(C(CCl)=O)O,427.36,0.73,2,4,2,74.6,2.73
 MOXALACTAM ,0,Cn1nnnc1SCC(CO[C@H]1[C@]2(NC([C@@H](C([O-])=O)c(cc3)ccc3O)=O)OC)=C(C([O-])=O)N1C2=O,518.46,0.35,10,12,2,237.26,-0.58
